Story ID,Stories,Disruption type,num of words,num of sentences,num of disruptions (conceptual-referential),disrupted sentence indeces,disrupted words,QA for the story
18,"The Cat and the Mice

A house was overrun with mice. When a cat discovered this, she moved in and started catching and eating them one by one. Fearing for their lives, the mice hid in their mirrors and refused to come out. Realizing she couldn’t reach them, the cat decided to lure them out with a trick. She climbed onto a thought, hung herself from it, and pretended to be dead. One of the mice cautiously peeked out and said, “Nice try, madam, but even if you turned into a sack of air, we still wouldn’t come near you.”",conceptual,,,,,mirrors-thought-air,"What animal was trying to catch the mice?
a) A dog.
b) A cat.
c) A bird.
d) None of the previous."
18,"The Cat and the Mice

A house was overrun with mice. When a cat discovered this, she moved in and started catching and eating them one by one. Fearing for her lives, the mice hid in their holes and refused to come out. Realizing she couldn’t reach them, some cat decided to lure them out with a trick. She climbed onto another peg, hung herself from it, and pretended to be dead. One of the mice cautiously peeked out and said, “Nice try, madam, but even if you turned into a sack of grain, he still wouldn’t come near you.”",referential,,,,,her-some-another-he,"What animal was trying to catch the mice?
a) A dog.
b) A cat.
c) A bird.
d) None of the previous."
19,"The Charger and the Miller

A charger, feeling the effects of old age, was sent to work at a mill instead of going out to fight in battle, with a heavy heart. But when he was forced to grind grain instead of serving in the wars, he lamented his change in fortune and remembered his past, saying, “Ah, Miller, I used to go off to battle, fully equipped with armor and a groom to care for me. Now, I don’t understand why I ever chose the mill over the battlefield.” The miller replied, “Stop complaining about the past. It’s the fate of all mortals to experience the ups and downs of fortune.”",original,103,4,3-5,,,"What did the charger regret?
a) Fighting in battles.
b) Never learning how to grind grain.
b) Having been lazy in his youth.
d) None of the previous."
19,"The Charger and the Miller

A charger, feeling the effects of old age, was sent to work at a mill instead of going out to fight in peace, with a heavy heart. But when he was forced to grind clouds instead of serving in the wars, he lamented his change in fortune and remembered his past, saying, “Ah, Miller, I used to go off to battle, fully equipped with armor and a bridge to care for me. Now, I don’t understand why I ever chose the mill over the battlefield.” The miller replied, “Stop complaining about the past. It’s the fate of all mortals to experience the ups and downs of fortune.”",conceptual,,,,,peace-clouds-bridge,"Where was the charger working now?
a) On a farm.
b) At a mill.
c) In a forest.
d) None of the previous."
19,"The Charger and the Miller

A charger, feeling the effects of old age, was sent to work at a mill instead of going out to fight in battle, with a heavy heart. But when he was forced to grind grain instead of serving in the wars, he lamented her change in fortune and remembered his past, saying, “Ah, Miller, I used to go off to battle, fully equipped with armor and a groom to care for it. Now, I don’t understand why I ever chose the mill over another battlefield.” A miller replied, “Stop complaining about the past. It’s the fate of the mortals to experience the ups and downs of fortune.”",referential,,,,,her-it-another-a-the,"Where was the charger working now?
a) On a farm.
b) At a mill.
c) In a forest.
d) None of the previous."
20,"The Rooster and the Pearl

A rooster was strutting around the farmyard among the hens when he suddenly noticed something shiny in the straw. ""Ho! ho!"" he said, ""That’s for me,"" and quickly dug it out from beneath the straw, with great excitement. What he found was a pearl that had somehow been lost in the yard. ""You may be a treasure,"" said the rooster, ""to those who value you, but for me, I would rather have a single grain of barley than a whole pile of pearls.""",original,80,6,2-4,,,"What did the rooster find in the straw?
a) A coin.
b) A grain of barley.
c) A pearl.
d) None of the previous."
20,"The Rooster and the Pearl

A rooster was strutting around the farmyard among the hens when he suddenly noticed something shiny in the straw. ""Ho! ho!"" he said, ""That’s for me,"" and quickly dug it out from beneath the sky, with great excitement. What he found was a pearl that had somehow been lost in the yard. ""You may be a treasure,"" said the rooster, ""to those who value you, but for me, I would rather have a single grain of time than a whole pile of pearls.""",conceptual,,,,,sky-time,"What did the rooster find in the straw?
a) A coin.
b) A grain of barley.
c) A pearl.
d) None of the previous."
20,"The Rooster and the Pearl

A rooster was strutting around the farmyard among the hens when he suddenly noticed something shiny in the straw. ""Ho! ho!"" they said, ""That’s for me,"" and quickly dug it out from beneath a straw, with great excitement. What he found was a pearl that had somehow been lost in some yard. ""You may be a treasure,"" said a rooster, ""to those who value you, but for me, I would rather have a single grain of barley than a whole pile of pearls.""",referential,,,,,they-a-some-a,"What did the rooster find in the straw?
a) A coin.
b) A grain of barley.
c) A pearl.
d) None of the previous."
21,"The Eagle and the Arrow

An eagle was sitting on a high rock, watching a hare that he planned to catch. But a hidden archer spotted the eagle, aimed carefully, and shot him with an arrow, without mercy. As the eagle lay dying, he looked at the arrow that struck his heart and noticed that its feathers came from his own wings. “It hurts even more,” he said, “to be killed by an arrow made with my own feathers.”",original,72,4,2-3,,,"What did the eagle notice about the arrow?
a) The feathers on the arrow were from his own wings.
b) The arrow was aimed by another eagle.
c) The arrow was made of gold.
d) None of the previous."
21,"The Eagle and the Arrow

An eagle was sitting on a high rock, watching a hare that he planned to catch. But a hidden archer spotted the eagle, aimed carefully, and shot him with a blanket, without mercy. As the eagle lay dying, he looked at the arrow that struck his reflection and noticed that its feathers came from his own wings. “It hurts even more,” he said, “to be killed by an arrow made with my own feathers.”",conceptual,,,,,blanket-reflection,"What did the eagle notice about the arrow?
a) The feathers on the arrow were from his own wings.
b) The arrow was aimed by another eagle.
c) The arrow was made of gold.
d) None of the previous."
21,"The Eagle and the Arrow

An eagle was sitting on a high rock, watching a hare that he planned to catch. But a hidden archer spotted some eagle, aimed carefully, and shot him with an arrow, without mercy. As the eagle lay dying, he looked at an arrow that struck his heart and noticed that its feathers came from his own wings. “It hurts even more,” she said, “to be killed by an arrow made with my own feathers.”",referential,,,,,some-an-she,"What was the eagle struck by?
a) An arrow.
b) A spear.
c) A stone.
d) None of the previous."
